dataset,seed,fold,alpha,mean_pcc,mean_rmse,mean_mae,selected
CCLE,2,5,0.9,0.673524880165314,0.74933804738808,0.5489463427800415,False
CCLE,2,5,1.0,0.6681358331840432,0.7567024550378462,0.5547278340132655,False
CCLE,2,6,0.0,0.6888606644153941,0.7244672205038658,0.5327447955007524,False
CCLE,2,6,0.1,0.6915834783639375,0.7217852852631855,0.5301850329776565,False
CCLE,2,6,0.2,0.6931658421420822,0.7203669237996333,0.5288435366836912,False
CCLE,2,6,0.3,0.6936236447524203,0.7202194811195651,0.5286382207300921,True
CCLE,2,6,0.4,0.6929885162200783,0.7213435657437525,0.5295186421959278,False
CCLE,2,6,0.5,0.6913062794142506,0.7237330388301377,0.531587145213549,False
CCLE,2,6,0.6000000000000001,0.6886349467721464,0.7273751822311535,0.5347156191025761,False
CCLE,2,6,0.7000000000000001,0.68504241174401,0.7322510347577184,0.5388316270371194,False
CCLE,2,6,0.8,0.6806039911422908,0.7383358761124639,0.5438514696519303,False
CCLE,2,6,0.9,0.6753999653905554,0.7455998303714407,0.5497986060881522,False
CCLE,2,6,1.0,0.6695132424553915,0.754008556163215,0.5565950048184389,False
CCLE,2,7,0.0,0.6841243081904201,0.7316629947272099,0.5347642808350018,False
CCLE,2,7,0.1,0.686688422951266,0.7290671856760482,0.5324762229979634,False
CCLE,2,7,0.2,0.6881651570220606,0.7276896001818124,0.5312338812637175,False
CCLE,2,7,0.3,0.6885635580610727,0.7275368662694717,0.5311328816658446,True
CCLE,2,7,0.4,0.6879076185130829,0.7286094072797343,0.5320407873848125,False
CCLE,2,7,0.5,0.6862351207480405,0.7309014402515704,0.5340053963835248,False
CCLE,2,7,0.6000000000000001,0.6835960126064681,0.7344011312691283,0.5369545609433016,False
CCLE,2,7,0.7000000000000001,0.6800504357190078,0.7390908981073174,0.5409090092328668,False
CCLE,2,7,0.8,0.6756665431947002,0.7449478423699751,0.5458941495588737,False
CCLE,2,7,0.9,0.6705182430231134,0.7519442870240605,0.5519001851283007,False
CCLE,2,7,1.0,0.6646829908481141,0.7600483912775686,0.5586642479877508,False
CCLE,2,8,0.0,0.6889610660078885,0.7256454969737874,0.5311032292259937,False
CCLE,2,8,0.1,0.6921607339002899,0.7223529053618385,0.5283094806890439,False
CCLE,2,8,0.2,0.6943660420482978,0.7201639493561268,0.5264599407928803,False
CCLE,2,8,0.3,0.6955790486538828,0.7190883684296325,0.5256833639294658,False
CCLE,2,8,0.4,0.6958143491530501,0.7191307446074537,0.5258215647203064,True
CCLE,2,8,0.5,0.6950983503162376,0.720290405807446,0.5269518270243461,False
CCLE,2,8,0.6000000000000001,0.6934681690629948,0.7225614535705551,0.5291010615396903,False
CCLE,2,8,0.7000000000000001,0.6909702333768653,0.7259329129694524,0.5321633305204566,False
CCLE,2,8,0.8,0.6876586760559178,0.7303889958563198,0.5361028777741511,False
CCLE,2,8,0.9,0.6835936163779571,0.7359094629108213,0.5409094671447202,False
CCLE,2,8,1.0,0.6788394207579158,0.7424700656666408,0.5465512347614017,False
CCLE,2,9,0.0,0.6873102499189111,0.7298117976781613,0.5318019745428268,False
CCLE,2,9,0.1,0.6903329831445851,0.726950994938034,0.5287472965149603,False
CCLE,2,9,0.2,0.6921511913659705,0.7254480359451657,0.5271729909816611,False
CCLE,2,9,0.3,0.6927903532210189,0.7253099917148844,0.5269000915219738,True
CCLE,2,9,0.4,0.6922928668673677,0.726535805565339,0.5277517330596245,False
CCLE,2,9,0.5,0.6907158398225274,0.7291163699127562,0.5297423308430778,False
CCLE,2,9,0.6000000000000001,0.688128456886141,0.7330348457380187,0.5328126748308413,False
CCLE,2,9,0.7000000000000001,0.684609126852855,0.7382671995977157,0.5370003444194958,False
CCLE,2,9,0.8,0.6802425984982217,0.7447829194421365,0.5423945685471503,False
CCLE,2,9,0.9,0.6751172088804049,0.7525458617256655,0.5488260304235306,False
CCLE,2,9,1.0,0.6693223890466715,0.761515178849987,0.5561940749704204,False
CCLE,2,10,0.0,0.6890599681228864,0.7245479441588543,0.5321562106473836,False
CCLE,2,10,0.1,0.6924260510970358,0.7212487513598381,0.5296566211688951,False
CCLE,2,10,0.2,0.6944768337094664,0.7194159695628122,0.5283692774523822,False
CCLE,2,10,0.3,0.6952413076765571,0.7190606933429399,0.5282643485087417,True
CCLE,2,10,0.4,0.6947685476050232,0.7201848330871831,0.5293616206224538,False
CCLE,2,10,0.5,0.693124932459919,0.7227810635314215,0.5316022533595804,False
