dataset,seed,quartile,method,pcc,rmse,mae,mean_disagreement,n_test
CCLE,2,2,fixed_fusion,0.7245235551638036,0.6645882310316349,0.4871053439488554,0.06932513223197327,2840
CCLE,2,3,imputer_only,0.7276682857299172,0.675772188114557,0.48836370579691146,0.13227111739532785,2840
CCLE,2,3,ridge_only,0.7237642995514667,0.680354599775396,0.49384054201238003,0.13227111739532785,2840
CCLE,2,3,fixed_fusion,0.7286152051113395,0.6747383128240814,0.48792043165149024,0.13227111739532785,2840
CCLE,2,4,imputer_only,0.7220706736925977,0.77447805621616,0.5610657266623119,0.28491565658724016,2840
CCLE,2,4,ridge_only,0.7198654668460885,0.7755618288859345,0.5684236026162388,0.28491565658724016,2840
CCLE,2,4,fixed_fusion,0.7324381592568658,0.7596004422762895,0.549606258314242,0.28491565658724016,2840
CCLE,3,1,imputer_only,0.717506933702866,0.6601146344521635,0.48427137184488867,0.02182736039119871,2840
CCLE,3,1,ridge_only,0.7180586232670522,0.6595794678956756,0.483711849062697,0.02182736039119871,2840
CCLE,3,1,fixed_fusion,0.7179020751868425,0.6597269308838303,0.48390462466295886,0.02182736039119871,2840
CCLE,3,2,imputer_only,0.713035142772974,0.6595494089006555,0.4829191523313672,0.06937168831231964,2840
CCLE,3,2,ridge_only,0.7127149147837853,0.6599081774760155,0.4840170895005043,0.06937168831231964,2840
CCLE,3,2,fixed_fusion,0.71379421112773,0.6587744278912478,0.48262136723699856,0.06937168831231964,2840
CCLE,3,3,imputer_only,0.7234863908874173,0.6869903472717779,0.4977970176714376,0.13125667504426813,2840
CCLE,3,3,ridge_only,0.7224944448514806,0.688426948994565,0.4995770734425144,0.13125667504426813,2840
CCLE,3,3,fixed_fusion,0.7258373960750182,0.6844810817164916,0.4954367625707651,0.13125667504426813,2840
CCLE,3,4,imputer_only,0.7441500227866255,0.7320187405015184,0.5440054182377269,0.2824879157147042,2840
CCLE,3,4,ridge_only,0.7330387850800958,0.7458781963782679,0.5558107304348519,0.2824879157147042,2840
CCLE,3,4,fixed_fusion,0.7501513795397834,0.7231449631305673,0.5354477543402744,0.2824879157147042,2840
CCLE,4,1,imputer_only,0.702952424819507,0.6419219290724142,0.47386639541154196,0.02205535008465055,2840
CCLE,4,1,ridge_only,0.7030219808742457,0.6418997013112627,0.47366689939694817,0.02205535008465055,2840
CCLE,4,1,fixed_fusion,0.7031094773814721,0.6417846868645174,0.47359152333775056,0.02205535008465055,2840
CCLE,4,2,imputer_only,0.7106685806312939,0.6394147581856426,0.47268832311289166,0.06973977089108585,2840
CCLE,4,2,ridge_only,0.710713567910507,0.6394658574157327,0.4734073050233657,0.06973977089108585,2840
CCLE,4,2,fixed_fusion,0.7116455417038935,0.638443111367816,0.4721051669164321,0.06973977089108585,2840
CCLE,4,3,imputer_only,0.7255522911606063,0.6966838735702964,0.5094755905883266,0.131328428633475,2840
CCLE,4,3,ridge_only,0.7246313612135743,0.6975727760380103,0.5104388627046998,0.131328428633475,2840
CCLE,4,3,fixed_fusion,0.7281133610171862,0.6939438804778197,0.5067382351364563,0.131328428633475,2840
CCLE,4,4,imputer_only,0.7455215005740023,0.7630307738543189,0.5477932452802531,0.28306858598805545,2840
CCLE,4,4,ridge_only,0.7354433383489404,0.776978405359328,0.5577417255567358,0.28306858598805545,2840
CCLE,4,4,fixed_fusion,0.7511655681136882,0.7548219163238193,0.5371094390833092,0.28306858598805545,2840
CCLE,5,1,imputer_only,0.7186827245228651,0.621560717308332,0.4620721143665666,0.02195072878417756,2840
CCLE,5,1,ridge_only,0.718403357493599,0.6218176157949551,0.4625423428717497,0.02195072878417756,2840
CCLE,5,1,fixed_fusion,0.7186705715144523,0.6215573805836493,0.4621518996706713,0.02195072878417756,2840
CCLE,5,2,imputer_only,0.7148314711619864,0.6661962433741723,0.48898988828939405,0.07060244931428673,2840
CCLE,5,2,ridge_only,0.7153800730675228,0.6657499945689621,0.4890524952515835,0.07060244931428673,2840
CCLE,5,2,fixed_fusion,0.7160574652978908,0.6649947120297406,0.48805937494297225,0.07060244931428673,2840
CCLE,5,3,imputer_only,0.7091783176281375,0.7031497185452671,0.5101537232123211,0.1325885506322227,2840
CCLE,5,3,ridge_only,0.7094688349632048,0.7034211461936161,0.5108253490930686,0.1325885506322227,2840
CCLE,5,3,fixed_fusion,0.7121975654648728,0.7000676719946284,0.5074577499459721,0.1325885506322227,2840
CCLE,5,4,imputer_only,0.7462074557987708,0.7520023146531158,0.5363607228765674,0.2863142072308389,2840
CCLE,5,4,ridge_only,0.733745317103694,0.7685564941680776,0.5589328091042416,0.2863142072308389,2840
CCLE,5,4,fixed_fusion,0.7515549772683058,0.744474230064082,0.5327952910981303,0.2863142072308389,2840
CCLE,6,1,imputer_only,0.7123348127403349,0.633059332610907,0.47579211677283395,0.02248957989168432,2840
CCLE,6,1,ridge_only,0.7124236902120675,0.6330760208006198,0.4757755654343526,0.02248957989168432,2840
CCLE,6,1,fixed_fusion,0.7125035823165119,0.6329348640862934,0.47566594456571104,0.02248957989168432,2840
CCLE,6,2,imputer_only,0.7122744091647664,0.6525576408779065,0.48099446441457316,0.07094883530443324,2840
CCLE,6,2,ridge_only,0.7107322994030452,0.6540110002414505,0.48300048865421047,0.07094883530443324,2840
CCLE,6,2,fixed_fusion,0.7124353539904988,0.6522745245990772,0.48104392817149344,0.07094883530443324,2840
CCLE,6,3,imputer_only,0.7148387357234044,0.6890823062192735,0.49670373772725573,0.1346011646913404,2840
